planet_name,default_flag,discovery_method,discovery_year,solution_type,pl_controv_flag,orbital_period_days,orbital_distance_au,planet_radius_earth,planet_mass_earth,planet_mass_jupiter,sy_dist
11 Com b,1,Radial Velocity,2007,Published Confirmed,0,323.21,1.178,,4914.89848585,15.464,93.1846
11 UMi b,1,Radial Velocity,2009,Published Confirmed,0,516.21997,1.53,,4684.8142,14.74,125.321
14 And b,1,Radial Velocity,2008,Published Confirmed,0,186.76,0.775,,1131.15130051,3.559,75.4392
14 Her b,1,Radial Velocity,2002,Published Confirmed,0,,2.839,,2828.6728223,8.9,17.9323
16 Cyg B b,1,Radial Velocity,1996,Published Confirmed,0,798.5,1.66,,565.7374,1.78,21.1397
17 Sco b,1,Radial Velocity,2020,Published Confirmed,0,578.38,1.45,,1373.01871824,4.32,124.953
18 Del b,1,Radial Velocity,2008,Published Confirmed,0,982.85,2.476,,2926.24614325,9.207,76.222
24 Boo b,1,Radial Velocity,2018,Published Confirmed,0,30.33,0.194,,280.64248338,0.883,95.9863
24 Sex b,1,Radial Velocity,2010,Published Confirmed,0,452.8,1.333,,632.46,1.99,72.0691
24 Sex c,1,Radial Velocity,2010,Published Confirmed,0,883.0,2.08,,273.32,0.86,72.0691
2MASS J04414489+2301513 b,1,Imaging,2010,Published Confirmed,0,,15.0,,2383.6,7.5,
4 UMa b,1,Radial Velocity,2006,Published Confirmed,0,270.27,0.877,,2511.48007211,7.902,73.4603
47 UMa b,1,Radial Velocity,1996,Published Confirmed,0,1078.0,2.1,,804.08,2.53,13.7967
47 UMa c,1,Radial Velocity,2001,Published Confirmed,0,2391.0,3.6,,171.621,0.54,13.7967
47 UMa d,1,Radial Velocity,2009,Published Confirmed,0,14002.0,11.6,,521.22,1.64,13.7967
51 Eri b,1,Imaging,2015,Published Confirmed,0,9100.0,10.4,,3464.3296363,10.9,29.7575
51 Peg b,1,Radial Velocity,1995,Published Confirmed,0,4.2307966,0.052,,193.87532827,0.61,15.4614
55 Cnc B b,1,Radial Velocity,2025,Published Confirmed,0,6.7994,0.044,,3.5,0.01101223,12.4773
55 Cnc B c,1,Radial Velocity,2025,Published Confirmed,0,33.747,0.13,,5.3,0.01667566,12.4773
55 Cnc b,1,Radial Velocity,1996,Published Confirmed,0,14.651552,0.118,,276.0,0.86839311,12.5855
55 Cnc c,1,Radial Velocity,2004,Published Confirmed,0,44.3936,0.247,,56.6,0.17808352,12.5855
55 Cnc d,1,Radial Velocity,2002,Published Confirmed,0,4799.0,5.6,,1214.10451474,3.82,12.5855
55 Cnc e,1,Radial Velocity,2004,Published Confirmed,0,0.7365474,0.01544,1.875,7.99,0.02513923,12.5855
55 Cnc f,1,Radial Velocity,2007,Published Confirmed,0,260.58,0.802,,48.5,0.15259807,12.5855
6 Lyn b,1,Radial Velocity,2008,Published Confirmed,0,919.86,2.028,,597.83523357,1.881,54.6599
61 Vir b,1,Radial Velocity,2009,Published Confirmed,0,4.215,0.050201,,5.1,0.016,8.50332
61 Vir c,1,Radial Velocity,2009,Published Confirmed,0,38.021,0.2175,,18.2,0.057,8.50332
61 Vir d,1,Radial Velocity,2009,Published Confirmed,0,123.01,0.476,,22.9,0.072,8.50332
7 CMa b,1,Radial Velocity,2011,Published Confirmed,0,735.1,1.758,,587.9855,1.85,19.8101
7 CMa c,1,Radial Velocity,2019,Published Confirmed,0,996.0,2.153,,276.5121,0.87,19.8101
70 Vir b,1,Radial Velocity,1996,Published Confirmed,0,116.688,0.481,,2357.02728,7.416,17.9011
75 Cet b,1,Radial Velocity,2012,Published Confirmed,0,696.62,1.912,,787.89662095,2.479,82.9613
75 Cet c,1,Radial Velocity,2023,Published Confirmed,0,2051.62,3.929,,289.85950718,0.912,82.9613
8 UMi b,1,Radial Velocity,2015,Published Confirmed,0,93.31,0.462,,524.41687155,1.65,162.552
